id,name,nref,raj,rajerr,raref,decj,decjerr,dref,pmra_radio,pmraerr,prref,pmdec_radio,pmdecerr,pdref,px,pxerr,pxref,posepoch,poseref,p0,p0err,p0ref,p1,p1err,p1ref,dm,dmerr,dmref,dist,pb,pberr,pbref,survey,surveyref,BinComp,BinCompref,Type,TypeRef,Assoc,raj_now,decj_now
58,J0103+54,kkl+15,15.904166666666667,20.0,kkl+15,54.03333333333333,20.0,kkl+15,0.0,0.0,,0.0,0.0,,,0.0,,56657.0,,0.354304,6e-06,kkl+15,,0.0,,55.605,0.004,kkl+15,2.01,,0.0,,gbncc,,,RRAT[kkl+15],,,,15.904166666666665,54.03333333333333
59,J0106+4855,pga+12,16.60441666666667,0.01,pga+12,48.93105555555555,0.01,pga+12,0.0,0.0,,0.0,0.0,,,0.0,,55225.0,,0.083157305005,6e-13,pga+12,4.2792e-16,5e-20,pga+12,70.87,0.2,pga+12,3.063,,0.0,,FermiBlind,,,HE,GRS:4FGL_J0106.4+4855[fermi21],,,16.60441666666667,48.93105555555555
60,J0107+1322,scb+19,16.916458333333335,0.02,tbc+20,13.375472222222223,0.02,tbc+20,0.0,0.0,,0.0,0.0,,,0.0,,57972.0,,1.1973833938,1e-10,tbc+20,6.87e-16,3e-18,tbc+20,21.671,0.001,tbc+20,2.349,,0.0,,lotaas,,,,,,,16.916458333333335,13.375472222222223
61,J0108-1431,tnj+94,17.034779233333328,8.8e-05,dtbr09,-14.530607527777779,8.8e-05,dtbr09,75.1,2.3,dtbr09,-152.5,1.7,dtbr09,4.2,1.4,dtbr09,54100.0,dtbr09,0.807564614019,2e-11,hlk+04,7.704e-17,1.2e-19,hlk+04,2.38,0.19,hlk+04,0.21,,0.0,,pks70,,,,,,,17.034633277144497,-14.530311144927854
62,B0105+65,dls72,17.09377041666666,0.0003,dgb+19,66.14291638888889,0.0003,dgb+19,-32.75,0.03,dgb+19,35.15,0.04,dgb+19,0.47,0.03,dgb+19,56000.0,dgb+19,1.2836598429,5e-10,hlk+04,1.3051e-14,3e-18,hlk+04,30.5482,0.0014,bkk+16,2.128,,0.0,,"jb1,gb1,gb2,lotaas",,,,,,,17.093881388557392,66.14279728410733
63,B0105+68,dtws85,17.122916666666665,0.02,hlk+04,69.09795277777778,0.02,hlk+04,0.0,0.0,,0.0,0.0,,,0.0,,49875.0,hlk+04,1.071118109859,5e-12,hlk+04,4.809e-17,4e-20,hlk+04,61.0617,0.0036,bkk+16,1.981,,0.0,,"gb2,gbncc,lotaas",,,,,,,17.122916666666665,69.09795277777778
64,J0111+6624,slr+14,17.841124999999998,0.12,lsk+18,66.403,0.12,lsk+18,0.0,0.0,,0.0,0.0,,,0.0,,56500.0,,4.3018721008,4e-10,lsk+18,8.36e-15,1.7e-16,lsk+18,111.2,0.03,lsk+18,2.412,,0.0,,gbncc,,,,,,,17.841124999999998,66.403
65,J0111-7131,mfl+06,17.869874999999997,0.09,mfl+06,-71.52966666666667,0.09,mfl+06,0.0,0.0,,0.0,0.0,,,0.0,,52369.0,,0.68854151164,5e-11,mfl+06,7.092e-15,4e-18,mfl+06,76.0,3.0,mfl+06,59.7,,0.0,,misc,,,,EXGAL:SMC,,,17.869874999999997,-71.52966666666667
66,J0113-7220,ckm+01,18.296208333333333,0.03,ckm+01,-72.34227777777777,0.03,ckm+01,0.0,0.0,,0.0,0.0,,,0.0,,51212.0,,0.32588301613,1e-11,ckm+01,4.859e-15,1.5e-18,ckm+01,125.49,0.03,ckm+01,59.7,,0.0,,misc,,,,EXGAL:SMC,,,18.296208333333333,-72.34227777777777
67,J0115+6325,scb+19,18.941124999999996,0.01,mbc+20,63.43077777777778,0.01,mbc+20,0.0,0.0,,0.0,0.0,,,0.0,,57876.0,mbc+20,0.521455427473,5e-12,mbc+20,1.599e-15,3e-18,mbc+20,65.069,0.004,mbc+20,1.931,,0.0,,lotaas,,,,,,,18.941124999999992,63.430777777777784
