#Table: J/MNRAS/353/1311/table6.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------
           |f|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |_|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |P|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |S|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |R|         |           |        |           |         |      |  e_p|       |    e_|      |    e|       |      |    |       |    |
PSRJ       |J|PSRB     |       ELON|  e_ELON|       ELAT|   e_ELAT|pmELON|mELON| pmELAT|pmELAT|  pmRA|_pmRA|   pmDE|e_pmDE|NTOA|  Epoch|Span| tRMS
-----------|-|---------|-----------|--------|-----------|---------|------|-----|-------|------|------|-----|-------|------|----|-------|----|-----
J1703-3241 | |B1700-32 |257.942744 |.0000130| -9.84801  |0.0000900| -31. | 14. |   59. | 105. | -26. | 17. |   62. | 104. | 118|50005.0|14.3|  450
J1705-1906 |g|B1702-19 |257.135499 |.0000060| +3.72327  |0.0001100| -66. |  5. | -123. |  83. | -78. |  9. | -116. |  82. | 401|48733.0|21.5|  237
J1705-3423 |g|         |258.60227  |.0000400|-11.4920   |0.0003000|  33. | 40. |    0. | 500. |  34. | 67. |    0. | 500. | 103|50856.0| 9.7|  700
J1708-3426 | |         |259.28941  |.0001000|-11.4795   |0.0008000|      |     |       |      |      |     |       |      |  87|50856.0| 9.7| 1707
J1709-1640 | |B1706-16 |257.827605 |.0000060| +6.22415  |0.0000500|      |     |       |      |      |     |       |      | 456|46993.0|30.9|  314
J1711-1509 | |B1709-15 |258.29415  |.0000300| +7.79111  |0.0001900|  -7. | 23. |   -0. | 300. | -11. | 28. |   -0. | 300. | 149|49907.0|15.0|  504
J1713+0747 | |         |256.6686701|.0000003|+30.7003733|0.0000006|   5.4|   .5|   -4.3|   1.2|   4.9|  0.5|   -4.8|   1.2| 304|50913.0| 9.3|   11
J1717-3425 | |B1714-34 |261.04246  |.0000300|-11.30832  |0.0001100|  14. | 23. |  -98. |  97. |   7. | 23. |  -99. |  97. | 104|50253.0|12.9|  520
J1720-0212 | |B1718-02 |259.55295  |.0000500|+20.87934  |0.0001500|  -1. | 50. |   69. | 129. |   4. | 42. |   69. | 129. | 401|49429.0|17.5| 2513
J1720-1633 |g|B1717-16 |260.45637  |.0000300| +6.5527   |0.0004000|  22. | 31. |  200. | 500. |  37. | 42. |  200. | 500. | 160|49686.0|16.3| 1024
J1720-2933 | |B1717-29 |261.38089  |.0000300| -6.4097   |0.0003000| -21. | 24. |  100. | 300. | -14. | 30. |  100. | 300. | 125|49863.0|14.8|  517
J1721-1936 | |B1718-19 |260.80915  |.0001000| +3.5149   |0.0020000|      |     |       |      |      |     |       |      | 277|50434.0|12.2| 4725
J1721-3532 | |B1718-35 |262.00371  |.0000500|-12.3743   |0.0003000|  36. | 94. | -600. | 600. |  -6. |105. | -600. | 600. |  89|51374.0| 6.9| 1134
J1722-3207 | |B1718-32 |261.876084 |.0000070| -8.95715  |0.0000600|  -5. |  7. |    5. |  54. |  -5. |  8. |    5. |  54. | 141|49894.0|15.0|  182
