#Table: J/MNRAS/352/1439/table1.dat (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------------------------------------------
          |f|              |      |             |      |            |  |    |     |     |    |     |
          |_|              |      |             |      |            |  |    |     |     |    |     |
          |P|              |      |             |      |            |  |    |     |     |    |     |
          |S|              |      |             |      |            |  |    |     |     |    |     |
          |R| R  R         |      |  D  D       |      |            |Be|   b|     |     |  e_|     |
PSRJ      |J|Ah Am      RAs| e_RAs| Ed Em    DEs| e_DEs|  GLON  GLAT|am|Dist|  S/N| S1.4|S1.4|  W50|W10
----------|-|--------------|------|-------------|------|------------|--|----|-----|-----|----|-----|---
1852-0118 | |18 52 17.15   |.03000|-01 18 14.8  | 1.700| 31.87 -0.78| 6|0.98| 22.1|0.35 |.040| 24.0|  -
1852-0127 | |18 52 03.60   |.04000|-01 27 23.4  | 1.400| 31.71 -0.80| 6|0.34| 36.1|0.58 |.070| 18.0|  -
1852-0635 | |18 52 57.38   |.14000|-06 35 57.   | 8.000| 27.22 -3.34|12|0.86|160.4|5.9  |.600| 90.0|  -
1853+0011 |A|18 53 29.968  |.01400|+00 11 29.7  |  .500| 33.34 -0.37| 6|0.34|  8.3|0.30 |.080| 11.8| 21
1853+0505 | |18 53 04.36   |.07000|+05 05 26.1  | 1.800| 37.65  1.96| 9|1.03| 67.4|1.50 |.160| 92.0|195
1853-0004 |A|18 53 23.018  |.00600|-00 04 32.3  |  .400| 33.09 -0.47| 3|0.76| 22.5|0.87 |.100|  2.2|  6
1855+0307 |A|18 55 26.63   |.03000|+03 07 20.2  |  .900| 36.17  0.53| 4|0.94| 31.1|0.97 |.110| 12.0|  -
1855+0700 | |18 55 17.72   |.04000|+07 00 37.1  |  .900| 39.61  2.34| 4|0.95| 11.0|0.10 |.020|  5.4|  -
1856+0102 |A|18 56 28.503  |.01300|+01 02 10.6  |  .500| 34.43 -0.65| 3|0.54| 11.4|0.38 |.110| 16.8| 28
1857+0143 |A|18 57 33.008  |.01500|+01 43 47.0  |  .900| 35.17 -0.57| 4|0.41| 29.9|0.74 |.180| 15.7| 43
1857+0809 | |18 57 09.31   |.03000|+08 09 04.3  |  .800| 40.84  2.45|12|0.23| 14.4|0.14 |.020| 12.0|  -
1858+0241 | |18 58 53.81   |.14000|+02 41 38.   | 6.000| 36.18 -0.43| 6|0.09| 11.9|0.10 |.020| 80.0|  -
1859+0601 |A|18 59 45.76   |.05000|+06 01 46.1  | 1.800| 39.25  0.90| 6|0.83| 12.1|0.30 |.040| 24.3|  -
1900+0634 |A|19 00 28.034  |.02000|+06 34 20.9  |  .600| 39.81  1.00|12|0.54| 11.7|0.24 |.090| 11.1| 20
1900-0051 |J|19 00 46.644  |.00700|-00 51 08.4  |  .500| 33.24 -2.47| 5|1.00| 30.1|0.45 |.060|  5.6| 17
1901+0124 |A|19 01 52.545  |.01400|+01 24 49.3  |  .800| 35.38 -1.68|12|1.06| 13.2|0.30 |.040|  8.3|  -
1901+0254 | |19 01 15.67   |.07000|+02 54 41.   | 5.000| 36.64 -0.86|11|0.74| 42.8|0.58 |.070| 70.0|  -
1901+0320 |A|19 01 03.01   |.09000|+03 20 18.   | 4.000| 37.00 -0.61| 8|0.42| 10.4|0.89 |.100| 47.2|  -
1901+0355 | |19 01 30.81   |.04000|+03 55 58.9  |  .900| 37.58 -0.44| 1|0.33| 15.9|0.15 |.030| 12.0|  -
1901+0510 |A|19 01 57.85   |.11000|+05 10 34.   | 4.000| 38.74  0.03|10|1.51|  8.6|0.66 |.080| 56.9|  -
1901-0312 | |19 01 15.675  |.01800|-03 12 29.5  |  .900| 31.19 -3.65| 7|0.74| 16.3|0.23 |.030|  7.9|  -
1902+0248 | |19 02 50.26   |.07000|+02 48 56.   | 3.000| 36.74 -1.25| 5|1.24| 11.7|0.17 |.030| 35.4|  -
1902-0340 | |19 02 50.70   |.19000|-03 40 18.   | 4.000| 30.96 -4.21| 6|0.48| 16.5|0.22 |.030| 25.0|  -
1903+0601 |J|19 03 20.874  |.01600|+06 01 34.0  |  .600| 39.65  0.11|11|1.03| 12.7|0.26 |.040| 12.0|  -
1905+0400 | |19 05 28.2736 |.00030|+04 00 10.922|  .013| 38.09 -1.29| 4|1.10| 26.5|0.050|.010|  0.6|  -
1905+0600 | |19 05 04.35   |.05000|+06 00 59.9  | 1.400| 39.84 -0.28| 8|0.83| 17.4|0.42 |.050| 13.0|  -
1906+0649 |A|19 06 11.97   |.03000|+06 49 48.1  | 1.000| 40.69 -0.15|11|0.25| 36.4|0.30 |.040| 37.0|  -
1907+0249 |A|19 07 42.03   |.04000|+02 49 41.   | 3.000| 37.31 -2.32|11|1.03| 10.7|0.46 |.120| 21.7| 32
1907+0345 | |19 07 14.543  |.01900|+03 45 10.6  |  .400| 38.08 -1.80| 1|0.62| 13.3|0.17 |.030|  6.3|  -
1907+0731 | |19 07 54.79   |.03000|+07 31 21.9  |  .500| 41.50 -0.21| 7|1.21| 20.9|0.35 |.040| 11.0|  -
1907+0918 | |19 07 22.441  |.00400|+09 18 30.76 |  .040| 43.02  0.73| 3|0.97| 12.8|0.29 |.040|  4.4|  -
1910+0225 |A|19 10 10.359  |.01700|+02 25 23.6  |  .500| 37.23 -3.06| 7|0.25| 39.2|0.6  |.200| 16.4| 29
1910+0728 | |19 10 22.079  |.00600|+07 28 37.09 |  .150| 41.74 -0.77|11|0.52| 78.2|0.87 |.100| 15.0| 22
